RentalID,MemberID,MemberName,MemberLastDateSubscribed,EmployeeID,EmployeeName,EmployeeEmployedDate,EmployeeSalary,BookID,BookName,BookAuthor,BookGenre,ReleaseDate,RentalPricePerDay,RentalStartDate,RentalEndDate,TotalPrice
1,28,Eric Miles,2024-05-01,1,Sharon Rose,2023-06-11,58433.94,57,The Subtle Art of Not Giving a F*ck,Mark Manson,Self Help,2016,0.8999999999999999,2024-05-11,2024-05-15,3.5999999999999996
2,27,Stephanie Sheppard,2024-05-05,5,Jeremy Porter,2023-10-30,52657.42,14,The Haunting of Hill House,Shirley Jackson,Horror,1959,0.8999999999999999,2023-01-20,2023-02-13,21.599999999999998
3,12,Brandon Fisher,2024-04-25,1,Sharon Rose,2023-06-11,58433.94,45,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,History,2005,0.9999999999999999,2023-08-02,2023-08-10,7.999999999999999
4,18,Deborah Smith,2024-04-29,5,Jeremy Porter,2023-10-30,52657.42,35,Snow Crash,Neal Stephenson,Sci-Fi,1992,2.6999999999999993,2023-06-23,2023-06-28,13.499999999999996
5,11,Jeffrey Bryant,2024-05-04,1,Sharon Rose,2023-06-11,58433.94,60,The Four Agreements,Don Miguel Ruiz,Self Help,1997,0.9999999999999999,2023-03-21,2023-04-12,21.999999999999996
6,18,Deborah Smith,2024-04-29,5,Jeremy Porter,2023-10-30,52657.42,35,Snow Crash,Neal Stephenson,Sci-Fi,1992,2.6999999999999993,2024-02-28,2024-03-02,8.099999999999998
7,10,Charles Nelson,2024-05-08,4,Elizabeth Turner,2022-04-02,53045.0,51,The 7 Habits of Highly Effective People,Stephen R. Covey,Self Help,1989,2.6999999999999993,2024-04-03,2024-04-17,37.79999999999999
8,14,Sean Friedman,2024-05-01,5,Jeremy Porter,2023-10-30,52657.42,16,The Exorcist,William Peter Blatty,Horror,1971,0.8999999999999999,2023-01-25,2023-01-26,0.8999999999999999
9,3,Robert Kennedy,2024-05-10,1,Sharon Rose,2023-06-11,58433.94,32,Neuromancer,William Gibson,Sci-Fi,1984,0.8999999999999999,2023-03-14,2023-03-21,6.299999999999999
10,22,Rebecca Ramos,2024-04-29,5,Jeremy Porter,2023-10-30,52657.42,80,The Tale of Peter Rabbit,Beatrix Potter,Children's Book,1902,0.8999999999999999,2023-06-30,2023-07-17,15.299999999999999
11,13,Isabella Jordan,2024-05-14,6,James Newman,2023-05-27,39638.24,9,The Kiss Quotient,Helen Hoang,Romance,2018,1.0999999999999999,2024-04-12,2024-04-13,1.0999999999999999
12,10,Charles Nelson,2024-05-08,2,Brittany Reynolds,2023-06-08,48692.28,13,Bird Box,Josh Malerman,Horror,2014,1.2999999999999998,2024-03-11,2024-03-18,9.099999999999998
13,9,Miss Amanda Garcia,2024-04-28,5,Jeremy Porter,2023-10-30,52657.42,28,Six of Crows,Leigh Bardugo,Young Adult,2015,1.0999999999999999,2024-05-19,2024-06-11,25.299999999999997
14,18,Deborah Smith,2024-04-29,4,Elizabeth Turner,2022-04-02,53045.0,54,The Power of Now,Eckhart Tolle,Self Help,1997,1.9999999999999996,2024-02-28,2024-03-13,27.999999999999993
15,26,William Daniel,2024-05-05,1,Sharon Rose,2023-06-11,58433.94,1,Pride and Prejudice,Jane Austen,Romance,1813,0.9999999999999999,2023-06-21,2023-07-06,14.999999999999998
16,25,Michael Oliver,2024-05-01,5,Jeremy Porter,2023-10-30,52657.42,61,The Hobbit,J.R.R. Tolkien,Fantasy,1937,0.9999999999999999,2024-04-02,2024-04-11,8.999999999999998
17,7,Katherine Marshall,2024-05-19,1,Sharon Rose,2023-06-11,58433.94,57,The Subtle Art of Not Giving a F*ck,Mark Manson,Self Help,2016,0.8999999999999999,2023-01-06,2023-01-31,22.499999999999996
18,11,Jeffrey Bryant,2024-05-04,6,James Newman,2023-05-27,39638.24,25,The Perks of Being a Wallflower,Stephen Chbosky,Young Adult,1999,1.0999999999999999,2023-05-05,2023-05-28,25.299999999999997
19,26,William Daniel,2024-05-05,2,Brittany Reynolds,2023-06-08,48692.28,58,Mindset: The New Psychology of Success,Carol S. Dweck,Self Help,2006,0.8999999999999999,2023-11-25,2023-12-06,9.899999999999999
20,12,Brandon Fisher,2024-04-25,1,Sharon Rose,2023-06-11,58433.94,77,Matilda,Roald Dahl,Children's Book,1988,1.1999999999999997,2023-08-04,2023-08-09,5.999999999999998
21,2,John Hernandez,2024-05-03,3,Sara Little,2023-03-28,45160.89,39,Hyperion,Dan Simmons,Sci-Fi,1989,1.1999999999999997,2023-06-17,2023-07-12,29.999999999999993
22,23,Logan Rodriguez,2024-05-23,1,Sharon Rose,2023-06-11,58433.94,22,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Young Adult,1997,0.8999999999999999,2023-09-19,2023-09-23,3.5999999999999996
23,27,Stephanie Sheppard,2024-05-05,6,James Newman,2023-05-27,39638.24,64,The Name of the Wind,Patrick Rothfuss,Fantasy,2007,0.9999999999999999,2023-03-14,2023-03-27,12.999999999999998
24,11,Jeffrey Bryant,2024-05-04,6,James Newman,2023-05-27,39638.24,20,The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,Horror,2020,0.9999999999999999,2023-03-17,2023-03-29,11.999999999999998
25,19,Karen Jackson,2024-04-27,1,Sharon Rose,2023-06-11,58433.94,23,The Fault in Our Stars,John Green,Young Adult,2012,0.9999999999999999,2023-09-25,2023-10-15,19.999999999999996
26,12,Brandon Fisher,2024-04-25,5,Jeremy Porter,2023-10-30,52657.42,79,Winnie-the-Pooh,A.A. Milne,Children's Book,1926,0.9999999999999999,2023-07-25,2023-08-20,25.999999999999996
27,17,Rodney Patton,2024-05-12,1,Sharon Rose,2023-06-11,58433.94,74,The Very Hungry Caterpillar,Eric Carle,Children's Book,1969,1.1999999999999997,2023-02-03,2023-02-27,28.799999999999994
28,24,Shane Logan,2024-05-06,1,Sharon Rose,2023-06-11,58433.94,64,The Name of the Wind,Patrick Rothfuss,Fantasy,2007,0.9999999999999999,2023-12-23,2024-01-10,17.999999999999996
29,30,Robert Harris,2024-05-21,5,Jeremy Porter,2023-10-30,52657.42,70,The Priory of the Orange Tree,Samantha Shannon,Fantasy,2019,2.8999999999999995,2023-04-07,2023-05-07,86.99999999999999
30,23,Logan Rodriguez,2024-05-23,2,Brittany Reynolds,2023-06-08,48692.28,54,The Power of Now,Eckhart Tolle,Self Help,1997,1.9999999999999996,2023-10-22,2023-10-25,5.999999999999998
31,19,Karen Jackson,2024-04-27,2,Brittany Reynolds,2023-06-08,48692.28,9,The Kiss Quotient,Helen Hoang,Romance,2018,1.0999999999999999,2024-03-04,2024-03-14,10.999999999999998
32,21,Martin Miles,2024-04-27,2,Brittany Reynolds,2023-06-08,48692.28,2,Outlander,Diana Gabaldon,Romance,1991,2.4999999999999996,2024-05-03,2024-05-23,49.99999999999999
33,7,Katherine Marshall,2024-05-19,3,Sara Little,2023-03-28,45160.89,78,Alice's Adventures in Wonderland,Lewis Carroll,Children's Book,1865,0.8999999999999999,2023-10-08,2023-10-27,17.099999999999998
34,14,Sean Friedman,2024-05-01,4,Elizabeth Turner,2022-04-02,53045.0,15,It,Stephen King,Horror,1986,0.8999999999999999,2023-05-30,2023-06-22,20.7
35,28,Eric Miles,2024-05-01,4,Elizabeth Turner,2022-04-02,53045.0,56,"Thinking, Fast and Slow",Daniel Kahneman,Self Help,2011,2.3,2023-02-24,2023-02-26,4.6
36,7,Katherine Marshall,2024-05-19,3,Sara Little,2023-03-28,45160.89,53,Atomic Habits,James Clear,Self Help,2018,2.3999999999999995,2023-06-27,2023-07-22,59.999999999999986
37,8,Zachary Gomez,2024-05-07,3,Sara Little,2023-03-28,45160.89,66,The Lies of Locke Lamora,Scott Lynch,Fantasy,2006,1.0999999999999999,2023-08-13,2023-08-16,3.3
38,14,Sean Friedman,2024-05-01,1,Sharon Rose,2023-06-11,58433.94,75,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Children's Book,1997,1.1999999999999997,2023-06-30,2023-07-28,33.599999999999994
39,30,Robert Harris,2024-05-21,4,Elizabeth Turner,2022-04-02,53045.0,44,The Wright Brothers,David McCullough,History,2015,2.0999999999999996,2023-03-20,2023-04-02,27.299999999999997
40,5,Rachel Potter,2024-05-13,1,Sharon Rose,2023-06-11,58433.94,21,The Hunger Games,Suzanne Collins,Young Adult,2008,1.0999999999999999,2023-08-04,2023-08-19,16.499999999999996
41,12,Brandon Fisher,2024-04-25,3,Sara Little,2023-03-28,45160.89,34,The Left Hand of Darkness,Ursula K. Le Guin,Sci-Fi,1969,2.4999999999999996,2024-05-08,2024-06-04,67.49999999999999
42,5,Rachel Potter,2024-05-13,4,Elizabeth Turner,2022-04-02,53045.0,27,Eleanor & Park,Rainbow Rowell,Young Adult,2013,0.8999999999999999,2023-10-11,2023-10-17,5.3999999999999995
43,29,Sara Mccoy,2024-05-14,6,James Newman,2023-05-27,39638.24,41,Sapiens: A Brief History of Humankind,Yuval Noah Harari,History,2011,0.8999999999999999,2023-10-15,2023-10-27,10.799999999999999
44,12,Brandon Fisher,2024-04-25,4,Elizabeth Turner,2022-04-02,53045.0,57,The Subtle Art of Not Giving a F*ck,Mark Manson,Self Help,2016,0.8999999999999999,2023-06-12,2023-07-04,19.799999999999997
45,25,Michael Oliver,2024-05-01,4,Elizabeth Turner,2022-04-02,53045.0,14,The Haunting of Hill House,Shirley Jackson,Horror,1959,0.8999999999999999,2023-07-27,2023-08-19,20.7
46,28,Eric Miles,2024-05-01,4,Elizabeth Turner,2022-04-02,53045.0,62,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,1997,0.9999999999999999,2024-05-18,2024-05-21,2.9999999999999996
47,11,Jeffrey Bryant,2024-05-04,3,Sara Little,2023-03-28,45160.89,26,Twilight,Stephenie Meyer,Young Adult,2005,1.1999999999999997,2024-04-18,2024-05-09,25.199999999999996
48,15,Deanna Watson,2024-05-04,1,Sharon Rose,2023-06-11,58433.94,8,Eleanor Oliphant Is Completely Fine,Gail Honeyman,Romance,2017,1.6999999999999997,2023-05-13,2023-05-31,30.599999999999994
49,24,Shane Logan,2024-05-06,1,Sharon Rose,2023-06-11,58433.94,69,Good Omens,Neil Gaiman and Terry Pratchett,Fantasy,1990,0.8999999999999999,2023-07-10,2023-07-16,5.3999999999999995
50,25,Michael Oliver,2024-05-01,6,James Newman,2023-05-27,39638.24,68,The Once and Future King,T.H. White,Fantasy,1958,1.1999999999999997,2023-12-26,2024-01-08,15.599999999999996
51,8,Zachary Gomez,2024-05-07,4,Elizabeth Turner,2022-04-02,53045.0,41,Sapiens: A Brief History of Humankind,Yuval Noah Harari,History,2011,0.8999999999999999,2023-07-29,2023-08-28,26.999999999999996
52,17,Rodney Patton,2024-05-12,2,Brittany Reynolds,2023-06-08,48692.28,35,Snow Crash,Neal Stephenson,Sci-Fi,1992,2.6999999999999993,2024-05-12,2024-06-04,62.09999999999998
53,21,Martin Miles,2024-04-27,1,Sharon Rose,2023-06-11,58433.94,29,The Maze Runner,James Dashner,Young Adult,2009,1.0999999999999999,2024-03-08,2024-03-16,8.799999999999999
